!THEORY;La Forma Passiva (Passiv) 🔄|Passivo di Processo: werden + Participio Passato|Passivo di Stato: sein + Participio Passato|⚠️ Per italiani: "werden" cambia in base al tempo (wird/wurde/ist geworden)|Agente: von + Dativo (da parte di qualcuno)
Il libro viene letto;Das Buch wird gelesen;Presente passivo: wird + Part.
Il libro è stato letto;Das Buch wurde gelesen;Preterito passivo: wurde + Part.
Il libro è stato letto (Perfekt);Das Buch ist gelesen worden;Perfekt passivo: ist...worden
La porta è chiusa (stato);Die Tür ist geschlossen;Passivo di stato: sein + Part.
La porta viene chiusa (processo);Die Tür wird geschlossen;Passivo di processo: werden + Part.
La casa viene costruita;Das Haus wird gebaut;Presente passivo
La casa fu costruita;Das Haus wurde gebaut;Preterito passivo
La casa è stata costruita;Das Haus ist gebaut worden;Perfekt passivo
Il caffè viene bevuto;Der Kaffee wird getrunken;Presente passivo
Questo può essere fatto;Das kann gemacht werden;Modale + werden + infinito
Deve essere pulito;Es muss gereinigt werden;müssen + Passivo
La lettera viene scritta da me;Der Brief wird von mir geschrieben;von + Dativo (agente)
Gli studenti vengono aiutati;Die Schüler werden geholfen;werden (plurale)
Il problema è stato risolto;Das Problem ist gelöst worden;Perfekt passivo
Sarà fatto domani;Es wird morgen gemacht werden;Futuro passivo
La finestra è aperta (stato);Das Fenster ist geöffnet;Stato: sein + Part.
La finestra viene aperta (processo);Das Fenster wird geöffnet;Processo: werden + Part.
Mi è stato detto;Mir ist gesagt worden;Dativo + ist...worden
La macchina veniva riparata;Das Auto wurde repariert;Preterito passivo
Viene fatto spesso;Es wird oft gemacht;Passivo impersonale
