!THEORY;Le Particelle Modali 🎨|Danno "colore" emotivo alla frase|NON si traducono letteralmente in italiano|Fondamentali per suonare "naturali" in tedesco|⚠️ Difficilissime da imparare per stranieri - si acquisiscono con l'uso
Ma certo! (enfasi);Das ist doch klar!;doch = enfasi/ovvietà
Ma dai, vieni!;Komm doch mit!;doch = invito insistente
Cosa vuoi mai?;Was willst du denn?;denn = curiosità/sorpresa
È proprio così;Das ist eben so;eben/halt = accettazione inevitabilità
Come mai...?;Wie denn?;denn = domanda sorpresa
Oh beh...;Na ja...;ja = conferma/rassegnazione
Quindi...;Also...;also = conclusione logica
Forse/per caso;Vielleicht;vielleicht = possibilità
Proprio/proprio così;Gerade;gerade = proprio in questo momento
Ancora;Noch;noch = ancora/continuità
Già;Schon;schon = già/conferma aspettativa
Davvero?;Wirklich?;wirklich = sorpresa
Comunque;Eigentlich;eigentlich = a dire il vero
Infatti;Ja/Doch;ja = conferma
Perlomeno;Wenigstens/Immerhin;immerhin = almeno/perlomeno
Ma che...!;Was...denn!;denn = sorpresa negativa
È pur vero che;Zwar...aber;zwar = concessione
Allora! (impazienza);Nun!;nun = sollecitazione
Ecco fatto!;So, fertig!;so = conclusione
Proprio lui/proprio questo;Ausgerechnet;ausgerechnet = proprio/ironia
